Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2022;4310;0;2A;2A006;Alata;A Puraghia;NB28E24;2022-07-17 21:39:00;;1000
2013;4734;0;2A;2A272;Sartène;PIANI;NB44G33;2013-08-28 02:57:00;3;20
2013;2446;0;2B;2B193;Omessa;;NC62C85;2013-07-11 17:04:00;;15000
2013;4680;0;2A;2A004;Ajaccio;vazzio;NB28K01;2013-08-01 10:53:00;3;20
2014;5536;0;2B;2B037;Biguglia;;NC86B01;2014-10-01 17:05:00;;100
2013;4726;0;2A;2A035;Belvédère-Campomoro;portigliolo;NB44C42;2013-08-16 22:50:00;3;200
2017;11758;0;2A;2A200;Palneca;Col de Verde - Feu de Ghisoni qui déborde dans le 2A;NB68E6;2017-10-27 16:32:00;;1
2014;4911;0;2A;2A108;Évisa;Paesolu d'Aitone;NC20K9;2014-08-26 22:48:00;3;100
2013;4711;0;2A;2A139;Lecci;golfe di sogno;NB84B55;2013-08-05 23:30:00;4;50
2021;4657;0;2A;2A099;Cozzano;Petra Pinzuta;NB68D15;2021-07-28 02:00:00;;2000
2016;5440;0;2B;2B009;Aléria;rt10;NC80F23;2016-08-19 17:00:00;;10000
2018;3671;0;2A;2A247;Porto-Vecchio;Conti;NB62L83;2018-08-31 06:00:00;;300
2019;5831;0;2A;2A070;Casaglione;D25 en direction de Vitusto;NB28G84;2019-08-21 01:00:00;;3000
2019;6403;0;2A;2A247;Porto-Vecchio;Cala Rossa. Après le rond point Magasin Utile;NB84A53;2019-06-29 10:05:00;;1
2019;6541;0;2A;2A139;Lecci;ZAL pont de l'Osu;NB84B65;2019-07-01 12:28:00;;5
2019;6762;0;2A;2A272;Sartène;Pont génois;NB44H55;2019-10-09 14:26:00;;208000
2020;2527;0;2A;2A212;Piana;Salognu;NC20A44;2020-07-12 16:12:00;;21346
2020;3397;0;2A;2A017;Appietto;Route de Lava;NB28F43;2020-08-02 04:12:00;;1800
2020;4200;0;2A;2A247;Porto-Vecchio;Macchja;NB64H52;2020-06-20 12:27:00;;500
2018;3445;0;2A;2A004;Ajaccio;Au dessus du stade François Coty;NB28H05;2018-08-14 00:39:00;;200
2020;4216;0;2A;2A209;Peri;A Peraccia;NB48A43;2020-08-20 10:45:00;;10000
2020;4294;0;2A;2A031;Bastelica;Village;NB48K53;2020-08-22 22:30:00;;60
2021;6969;0;2A;2A269;Sari-Solenzara;Casaccia;NB86D81;2021-08-12 19:28:00;;20
2012;9593;0;2A;2A041;Bonifacio;biancarello;NB62G11;2012-09-02 13:27:00;3;200
2014;4832;0;2B;2B314;Santo-Pietro-di-Tenda;;NC66A12;2014-08-24 12:38:00;;2
2017;3663;0;2B;2B354;Vivario;TATTONE;NC60B11;2017-07-07 15:24:00;;10
2019;5049;0;2B;2B049;Calenzana;;NC24F13;2019-08-09 11:16:00;;10
2022;4647;0;2B;2B049;Calenzana;route du Marsulino;NC24E0;2022-07-19 15:25:00;;50000
2012;6260;0;2B;2B110;Favalello;;NC62G23;2012-07-17 14:25:00;;300
2012;7328;0;2B;2B083;Castirla;;NC62A63;2012-08-07 11:21:00;;30
2020;4207;0;2A;2A247;Porto-Vecchio;Route d'Arca;NB64K23;2020-08-05 16:26:00;;100
2013;1903;0;2A;2A212;Piana;PLAGE D'ARON E;NC00K51;2013-06-17 21:28:00;3;10
2013;3806;0;2A;2A215;Pianottoli-Caldarello;village;NB62B64;2013-07-28 16:46:00;3;1000
2013;4947;0;2A;2A247;Porto-Vecchio;NOTA;NB64K32;2013-09-03 18:10:00;3;500
2015;5214;0;2A;2A040;Bocognano;RN 193 - 1 KM avant Col de Vizzavona;NC60A02;2015-08-04 15:27:00;3;50
2015;5217;0;2A;2A032;Bastelicaccia;RD 3;NB28L13;2015-08-09 02:04:00;3;500
2017;11654;0;2A;2A004;Ajaccio;Avenue Mont Thabor;NB28G03;2017-08-30 20:10:00;;1
2016;4278;0;2A;2A130;Grosseto-Prugna;PORTICCIO - LA VETA;NB26L83;2016-07-23 15:38:00;3;500
2016;5946;0;2A;2A004;Ajaccio;ROUTE DE ST ANTOINE;NB26E92;2016-08-19 11:30:00;3;4400
2016;5908;0;2A;2A085;Cauro;Route de Bellevalle;NB46B84;2016-08-19 02:19:00;3;100
2018;3670;0;2A;2A085;Cauro;Clos Capitoro - RT40;NB46A94;2018-08-30 10:24:00;;50
